recency,frequency,monetary,R_score,F_score,M_score,RFM_Cell,segment
114,1,26.0,4,1,1,411,Regular Customer
110,1,438.0,4,1,5,415,Regular Customer
225,1,13.99,3,1,1,311,Regular Customer
475,1,16.99,1,1,1,111,At Risk
385,1,148.0,1,1,4,114,Regular Customer
211,1,79.9,3,1,3,313,Regular Customer
213,1,215.0,3,1,5,315,Regular Customer
278,1,49.99,2,1,2,212,Regular Customer
215,1,425.0,3,1,5,315,Regular Customer
521,1,119.9,1,1,4,114,Regular Customer
413,1,199.0,1,1,5,115,Regular Customer
150,1,85.5,4,1,3,413,Regular Customer
24,1,105.0,5,1,3,513,Regular Customer
36,1,149.9,5,1,4,514,Regular Customer
16,1,99.99,5,1,3,513,Regular Customer
166,1,18.75,4,1,1,411,Regular Customer
15,1,195.0,5,1,5,515,Regular Customer
23,1,109.7,5,1,3,513,Regular Customer
237,1,129.9,3,1,4,314,Regular Customer
272,1,157.0,2,1,4,214,Regular Customer
120,1,524.9,4,1,5,415,Regular Customer
535,1,119.99,1,1,4,114,Regular Customer
135,1,48.0,4,1,2,412,Regular Customer
283,1,148.0,2,1,4,214,Regular Customer
31,1,57.99,5,1,2,512,Regular Customer
114,1,85.0,4,1,3,413,Regular Customer
314,1,393.98,2,1,5,215,Regular Customer
160,1,245.0,4,1,5,415,Regular Customer
228,2,317.89,3,5,5,355,Regular Customer
271,1,69.8,2,1,2,212,Regular Customer
35,1,49.9,5,1,2,512,Regular Customer
497,1,49.9,1,1,2,112,At Risk
446,1,39.9,1,1,1,111,At Risk
541,1,109.9,1,1,3,113,Regular Customer
84,1,64.99,5,1,2,512,Regular Customer
71,1,5.9,5,1,1,511,Regular Customer
393,1,95.9,1,1,3,113,Regular Customer
367,1,60.0,2,1,2,212,Regular Customer
14,1,69.5,5,1,2,512,Regular Customer
22,1,21.7,5,1,1,511,Regular Customer
244,1,24.99,3,1,1,311,Regular Customer
442,1,9.9,1,1,1,111,At Risk
541,1,80.0,1,1,3,113,Regular Customer
42,1,25.9,5,1,1,511,Regular Customer
257,1,69.77,3,1,2,312,Regular Customer
95,1,27.0,4,1,1,411,Regular Customer
25,1,134.99,5,1,4,514,Regular Customer
198,1,32.0,3,1,1,311,Regular Customer
45,1,949.99,5,1,5,515,Regular Customer
388,1,94.9,1,1,3,113,Regular Customer
126,1,159.98,4,1,4,414,Regular Customer
18,1,152.0,5,1,4,514,Regular Customer
120,1,49.99,4,1,2,412,Regular Customer
516,1,103.97,1,1,3,113,Regular Customer
150,1,1561.0,4,1,5,415,Regular Customer
123,1,48.99,4,1,2,412,Regular Customer
278,1,56.0,2,1,2,212,Regular Customer
544,1,328.0,1,1,5,115,Regular Customer
197,1,68.0,3,1,2,312,Regular Customer
21,1,129.99,5,1,4,514,Regular Customer
152,1,92.9,4,1,3,413,Regular Customer
40,1,220.64,5,1,5,515,Regular Customer
298,1,19.9,2,1,1,211,Regular Customer
9,1,75.07,5,1,3,513,Regular Customer
104,1,70.0,4,1,3,413,Regular Customer
160,1,72.58,4,1,3,413,Regular Customer
443,1,29.9,1,1,1,111,At Risk
111,1,79.99,4,1,3,413,Regular Customer
360,1,32.0,2,1,1,211,Regular Customer
333,1,159.99,2,1,4,214,Regular Customer
99,1,689.0,4,1,5,415,Regular Customer
301,1,49.8,2,1,2,212,Regular Customer
34,1,199.99,5,1,5,515,Regular Customer
350,1,199.9,2,1,5,215,Regular Customer
361,1,189.9,2,1,5,215,Regular Customer
157,1,12.9,4,1,1,411,Regular Customer
141,1,129.0,4,1,4,414,Regular Customer
186,1,135.9,3,1,4,314,Regular Customer
230,1,37.8,3,1,1,311,Regular Customer
181,1,215.6,3,1,5,315,Regular Customer
70,1,52.66,5,1,2,512,Regular Customer
184,1,15.0,3,1,1,311,Regular Customer
325,1,89.9,2,1,3,213,Regular Customer
53,1,15.99,5,1,1,511,Regular Customer
360,1,84.94,2,1,3,213,Regular Customer
72,1,169.9,5,1,4,514,Regular Customer
65,1,59.9,5,1,2,512,Regular Customer
277,1,49.0,2,1,2,212,Regular Customer
271,1,267.2,2,1,5,215,Regular Customer
142,1,89.9,4,1,3,413,Regular Customer
195,1,19.9,3,1,1,311,Regular Customer
76,1,67.99,5,1,2,512,Regular Customer
390,1,79.9,1,1,3,113,Regular Customer
262,1,189.9,3,1,5,315,Regular Customer
318,1,44.98,2,1,2,212,Regular Customer
200,1,29.99,3,1,1,311,Regular Customer
394,1,108.9,1,1,3,113,Regular Customer
19,1,39.49,5,1,1,511,Regular Customer
103,1,104.9,4,1,3,413,Regular Customer
227,1,194.9,3,1,5,315,Regular Customer
159,1,59.9,4,1,2,412,Regular Customer
112,1,599.0,4,1,5,415,Regular Customer
203,1,219.0,3,1,5,315,Regular Customer
57,1,75.0,5,1,3,513,Regular Customer
384,1,200.0,1,1,5,115,Regular Customer
397,1,44.9,1,1,2,112,At Risk
342,1,294.99,2,1,5,215,Regular Customer
72,1,139.99,5,1,4,514,Regular Customer
171,1,849.5,4,1,5,415,Regular Customer
115,1,53.9,4,1,2,412,Regular Customer
251,1,29.99,3,1,1,311,Regular Customer
501,1,99.99,1,1,3,113,Regular Customer
143,1,53.9,4,1,2,412,Regular Customer
276,1,24.9,2,1,1,211,Regular Customer
273,1,48.9,2,1,2,212,Regular Customer
207,1,109.95,3,1,4,314,Regular Customer
338,1,78.8,2,1,3,213,Regular Customer
107,1,21.9,4,1,1,411,Regular Customer
84,1,129.0,5,1,4,514,Regular Customer
240,1,49.97,3,1,2,312,Regular Customer
172,1,54.4,4,1,2,412,Regular Customer
236,1,30.5,3,1,1,311,Regular Customer
511,1,35.0,1,1,1,111,At Risk
212,1,465.88,3,1,5,315,Regular Customer
161,1,330.0,4,1,5,415,Regular Customer
406,1,249.99,1,1,5,115,Regular Customer
68,1,160.0,5,1,4,514,Regular Customer
559,1,126.99,1,1,4,114,Regular Customer
8,1,67.98,5,1,2,512,Regular Customer
172,1,29.9,4,1,1,411,Regular Customer
14,1,111.51,5,1,4,514,Regular Customer
372,1,114.0,2,1,4,214,Regular Customer
138,1,45.0,4,1,2,412,Regular Customer
581,1,309.9,1,1,5,115,Regular Customer
455,1,32.99,1,1,1,111,At Risk
274,1,120.9,2,1,4,214,Regular Customer
351,1,16.17,2,1,1,211,Regular Customer
393,1,10.75,1,1,1,111,At Risk
206,1,89.9,3,1,3,313,Regular Customer
433,1,84.99,1,1,3,113,Regular Customer
281,1,139.9,2,1,4,214,Regular Customer
443,1,210.0,1,1,5,115,Regular Customer
275,1,30.21,2,1,1,211,Regular Customer
519,1,174.0,1,1,4,114,Regular Customer
57,1,80.38,5,1,3,513,Regular Customer
435,1,62.99,1,1,2,112,At Risk
533,1,679.6,1,1,5,115,Regular Customer
398,1,169.0,1,1,4,114,Regular Customer
198,1,134.9,3,1,4,314,Regular Customer
348,1,20.3,2,1,1,211,Regular Customer
276,1,89.9,2,1,3,213,Regular Customer
133,1,172.14,4,1,4,414,Regular Customer
241,1,49.99,3,1,2,312,Regular Customer
83,1,59.99,5,1,2,512,Regular Customer
129,1,79.99,4,1,3,413,Regular Customer
499,1,129.9,1,1,4,114,Regular Customer
148,1,13.65,4,1,1,411,Regular Customer
127,1,79.98,4,1,3,413,Regular Customer
437,1,32.9,1,1,1,111,At Risk
124,1,110.0,4,1,4,414,Regular Customer
16,1,179.9,5,1,4,514,Regular Customer
71,1,34.49,5,1,1,511,Regular Customer
246,1,84.99,3,1,3,313,Regular Customer
31,1,95.0,5,1,3,513,Regular Customer
274,1,28.7,2,1,1,211,Regular Customer
547,1,49.9,1,1,2,112,At Risk
10,1,98.0,5,1,3,513,Regular Customer
88,2,81.45,5,5,3,553,Regular Customer
200,1,89.7,3,1,3,313,Regular Customer
419,1,25.9,1,1,1,111,At Risk
243,1,169.9,3,1,4,314,Regular Customer
505,1,49.9,1,1,2,112,At Risk
163,1,238.0,4,1,5,415,Regular Customer
195,1,116.91,3,1,4,314,Regular Customer
149,1,25.5,4,1,1,411,Regular Customer
271,1,134.9,2,1,4,214,Regular Customer
276,1,25.5,2,1,1,211,Regular Customer
489,1,209.9,1,1,5,115,Regular Customer
68,1,59.99,5,1,2,512,Regular Customer
520,1,79.9,1,1,3,113,Regular Customer
295,1,2078.5,2,1,5,215,Regular Customer
111,1,213.5,4,1,5,415,Regular Customer
351,1,121.9,2,1,4,214,Regular Customer
233,1,94.98,3,1,3,313,Regular Customer
397,1,120.0,1,1,4,114,Regular Customer
265,1,399.93,3,1,5,315,Regular Customer
111,1,49.8,4,1,2,412,Regular Customer
223,1,181.56,3,1,5,315,Regular Customer
280,1,129.9,2,1,4,214,Regular Customer
187,1,159.99,3,1,4,314,Regular Customer
89,1,12.99,5,1,1,511,Regular Customer
27,1,65.9,5,1,2,512,Regular Customer
149,1,249.99,4,1,5,415,Regular Customer
323,1,89.9,2,1,3,213,Regular Customer
276,1,89.9,2,1,3,213,Regular Customer
440,1,120.0,1,1,4,114,Regular Customer
70,1,146.94,5,1,4,514,Regular Customer
162,1,199.9,4,1,5,415,Regular Customer
29,1,70.0,5,1,3,513,Regular Customer
414,1,112.80000000000001,1,1,4,114,Regular Customer
228,1,29.97,3,1,1,311,Regular Customer
304,1,59.9,2,1,2,212,Regular Customer
171,1,49.9,4,1,2,412,Regular Customer
205,1,9.0,3,1,1,311,Regular Customer
282,1,41.5,2,1,2,212,Regular Customer
124,1,159.9,4,1,4,414,Regular Customer
104,1,102.0,4,1,3,413,Regular Customer
278,1,49.0,2,1,2,212,Regular Customer
285,1,649.9,2,1,5,215,Regular Customer
245,1,99.8,3,1,3,313,Regular Customer
531,1,179.99,1,1,5,115,Regular Customer
181,1,72.0,3,1,3,313,Regular Customer
76,1,338.0,5,1,5,515,Regular Customer
34,1,2258.0,5,1,5,515,Regular Customer
273,1,94.9,2,1,3,213,Regular Customer
285,1,108.9,2,1,3,213,Regular Customer
125,1,40.0,4,1,2,412,Regular Customer
178,1,19.9,3,1,1,311,Regular Customer
302,1,64.9,2,1,2,212,Regular Customer
530,1,380.0,1,1,5,115,Regular Customer
272,1,56.89,2,1,2,212,Regular Customer
277,1,55.9,2,1,2,212,Regular Customer
314,1,64.99,2,1,2,212,Regular Customer
39,1,139.9,5,1,4,514,Regular Customer
128,1,119.0,4,1,4,414,Regular Customer
33,1,67.0,5,1,2,512,Regular Customer
263,1,69.9,3,1,2,312,Regular Customer
86,1,399.9,5,1,5,515,Regular Customer
30,1,32.66,5,1,1,511,Regular Customer
526,2,99.80000000000001,1,5,3,153,Regular Customer
258,1,54.99,3,1,2,312,Regular Customer
499,1,157.9,1,1,4,114,Regular Customer
524,1,79.9,1,1,3,113,Regular Customer
114,1,49.0,4,1,2,412,Regular Customer
429,1,79.9,1,1,3,113,Regular Customer
123,1,58.89,4,1,2,412,Regular Customer
135,1,269.9,4,1,5,415,Regular Customer
133,1,18.9,4,1,1,411,Regular Customer
439,1,19.99,1,1,1,111,At Risk
223,1,159.77,3,1,4,314,Regular Customer
147,1,116.30000000000001,4,1,4,414,Regular Customer
28,1,219.9,5,1,5,515,Regular Customer
441,1,99.95,1,1,3,113,Regular Customer
61,1,47.9,5,1,2,512,Regular Customer
47,1,105.99,5,1,3,513,Regular Customer
10,1,14.99,5,1,1,511,Regular Customer
425,1,56.0,1,1,2,112,At Risk
263,1,220.0,3,1,5,315,Regular Customer
225,1,12.77,3,1,1,311,Regular Customer
205,1,29.99,3,1,1,311,Regular Customer
112,1,59.0,4,1,2,412,Regular Customer
210,1,340.0,3,1,5,315,Regular Customer
190,1,99.9,3,1,3,313,Regular Customer
105,1,209.70000000000002,4,1,5,415,Regular Customer
130,1,334.9,4,1,5,415,Regular Customer
400,1,195.3,1,1,5,115,Regular Customer
272,1,119.3,2,1,4,214,Regular Customer
476,1,94.9,1,1,3,113,Regular Customer
56,1,149.9,5,1,4,514,Regular Customer
373,1,119.9,2,1,4,214,Regular Customer
278,1,16.0,2,1,1,211,Regular Customer
260,1,49.9,3,1,2,312,Regular Customer
41,1,49.9,5,1,2,512,Regular Customer
45,1,99.99,5,1,3,513,Regular Customer
227,1,129.0,3,1,4,314,Regular Customer
145,1,169.83,4,1,4,414,Regular Customer
360,1,199.9,2,1,5,215,Regular Customer
137,1,113.57,4,1,4,414,Regular Customer
285,1,59.9,2,1,2,212,Regular Customer
242,1,29.99,3,1,1,311,Regular Customer
337,1,56.99,2,1,2,212,Regular Customer
169,1,65.9,4,1,2,412,Regular Customer
274,1,30.1,2,1,1,211,Regular Customer
208,1,151.0,3,1,4,314,Regular Customer
500,1,23.9,1,1,1,111,At Risk
224,1,260.9,3,1,5,315,Regular Customer
162,1,120.0,4,1,4,414,Regular Customer
190,1,25.45,3,1,1,311,Regular Customer
28,1,9.9,5,1,1,511,Regular Customer
273,1,24.5,2,1,1,211,Regular Customer
276,1,98.0,2,1,3,213,Regular Customer
262,1,79.0,3,1,3,313,Regular Customer
173,1,117.80000000000001,4,1,4,414,Regular Customer
44,1,110.32,5,1,4,514,Regular Customer
543,1,327.98,1,1,5,115,Regular Customer
445,1,219.99,1,1,5,115,Regular Customer
123,1,16.9,4,1,1,411,Regular Customer
32,1,129.99,5,1,4,514,Regular Customer
10,1,24.9,5,1,1,511,Regular Customer
8,1,29.99,5,1,1,511,Regular Customer
232,1,150.0,3,1,4,314,Regular Customer
99,1,69.9,4,1,2,412,Regular Customer
174,1,19.9,4,1,1,411,Regular Customer
226,1,247.23,3,1,5,315,Regular Customer
103,1,43.49,4,1,2,412,Regular Customer
252,1,79.0,3,1,3,313,Regular Customer
88,1,89.99,5,1,3,513,Regular Customer
26,1,171.78,5,1,4,514,Regular Customer
127,1,35.9,4,1,1,411,Regular Customer
39,1,179.99,5,1,5,515,Regular Customer
139,1,60.9,4,1,2,412,Regular Customer
235,1,199.9,3,1,5,315,Regular Customer
308,1,139.99,2,1,4,214,Regular Customer
370,1,99.9,2,1,3,213,Regular Customer
99,1,91.3,4,1,3,413,Regular Customer
102,1,27.9,4,1,1,411,Regular Customer
391,1,205.0,1,1,5,115,Regular Customer
460,1,19.9,1,1,1,111,At Risk
144,1,259.0,4,1,5,415,Regular Customer
7,1,116.9,5,1,4,514,Regular Customer
503,1,430.0,1,1,5,115,Regular Customer
366,1,42.0,2,1,2,212,Regular Customer
459,1,129.8,1,1,4,114,Regular Customer
211,1,16.9,3,1,1,311,Regular Customer
284,1,139.99,2,1,4,214,Regular Customer
365,1,49.9,2,1,2,212,Regular Customer
163,1,29.4,4,1,1,411,Regular Customer
237,1,40.0,3,1,2,312,Regular Customer
47,1,50.4,5,1,2,512,Regular Customer
316,1,147.9,2,1,4,214,Regular Customer
137,1,24.9,4,1,1,411,Regular Customer
383,1,79.9,1,1,3,113,Regular Customer
279,1,171.9,2,1,4,214,Regular Customer
318,1,39.0,2,1,1,211,Regular Customer
155,1,92.1,4,1,3,413,Regular Customer
164,1,118.0,4,1,4,414,Regular Customer
181,1,97.0,3,1,3,313,Regular Customer
478,1,26.69,1,1,1,111,At Risk
133,2,182.9,4,5,5,455,VIP Customer
220,1,12.25,3,1,1,311,Regular Customer
346,1,38.6,2,1,1,211,Regular Customer
408,1,25.9,1,1,1,111,At Risk
269,1,139.9,2,1,4,214,Regular Customer
70,1,49.98,5,1,2,512,Regular Customer
289,1,29.9,2,1,1,211,Regular Customer
191,1,317.9,3,1,5,315,Regular Customer
241,1,139.0,3,1,4,314,Regular Customer
108,1,74.99,4,1,3,413,Regular Customer
47,1,65.0,5,1,2,512,Regular Customer
196,1,65.0,3,1,2,312,Regular Customer
529,1,3999.9,1,1,5,115,Regular Customer
149,1,14.9,4,1,1,411,Regular Customer
319,1,39.99,2,1,2,212,Regular Customer
196,2,183.43,3,5,5,355,Regular Customer
230,1,29.5,3,1,1,311,Regular Customer
540,1,7.87,1,1,1,111,At Risk
264,1,64.99,3,1,2,312,Regular Customer
480,1,229.99,1,1,5,115,Regular Customer
329,1,29.99,2,1,1,211,Regular Customer
276,1,18.9,2,1,1,211,Regular Customer
316,1,82.99,2,1,3,213,Regular Customer
357,1,49.9,2,1,2,212,Regular Customer
108,2,427.9,4,5,5,455,VIP Customer
442,1,84.99,1,1,3,113,Regular Customer
547,1,99.99,1,1,3,113,Regular Customer
117,1,69.9,4,1,2,412,Regular Customer
197,1,72.9,3,1,3,313,Regular Customer
148,1,79.99,4,1,3,413,Regular Customer
159,1,358.98,4,1,5,415,Regular Customer
334,1,79.9,2,1,3,213,Regular Customer
184,1,34.9,3,1,1,311,Regular Customer
167,1,1390.0,4,1,5,415,Regular Customer
73,2,1429.8000000000002,5,5,5,555,VIP Customer
10,1,29.98,5,1,1,511,Regular Customer
38,1,318.0,5,1,5,515,Regular Customer
566,1,65.6,1,1,2,112,At Risk
146,1,49.0,4,1,2,412,Regular Customer
369,1,59.0,2,1,2,212,Regular Customer
140,1,63.9,4,1,2,412,Regular Customer
577,1,87.74,1,1,3,113,Regular Customer
185,1,33.0,3,1,1,311,Regular Customer
41,1,228.0,5,1,5,515,Regular Customer
504,1,99.99,1,1,3,113,Regular Customer
366,1,610.0,2,1,5,215,Regular Customer
130,1,134.0,4,1,4,414,Regular Customer
72,1,46.4,5,1,2,512,Regular Customer
351,1,29.9,2,1,1,211,Regular Customer
33,1,319.79999999999995,5,1,5,515,Regular Customer
344,1,42.9,2,1,2,212,Regular Customer
195,1,49.9,3,1,2,312,Regular Customer
418,1,69.9,1,1,2,112,At Risk
260,1,129.9,3,1,4,314,Regular Customer
105,1,113.9,4,1,4,414,Regular Customer
122,1,149.9,4,1,4,414,Regular Customer
484,1,49.99,1,1,2,112,At Risk
53,1,22.49,5,1,1,511,Regular Customer
287,1,120.0,2,1,4,214,Regular Customer
155,1,987.0,4,1,5,415,Regular Customer
305,1,110.0,2,1,4,214,Regular Customer
205,1,9.9,3,1,1,311,Regular Customer
140,1,117.3,4,1,4,414,Regular Customer
41,2,226.34,5,5,5,555,VIP Customer
322,1,81.99,2,1,3,213,Regular Customer
275,2,276.9,2,5,5,255,Regular Customer
294,1,34.9,2,1,1,211,Regular Customer
92,1,157.0,5,1,4,514,Regular Customer
200,1,155.0,3,1,4,314,Regular Customer
188,1,699.0,3,1,5,315,Regular Customer
342,1,129.99,2,1,4,214,Regular Customer
356,1,19.9,2,1,1,211,Regular Customer
319,1,56.99,2,1,2,212,Regular Customer
44,1,17.0,5,1,1,511,Regular Customer
90,1,19.9,5,1,1,511,Regular Customer
51,1,79.9,5,1,3,513,Regular Customer
173,1,12.9,4,1,1,411,Regular Customer
564,1,89.9,1,1,3,113,Regular Customer
22,1,58.99,5,1,2,512,Regular Customer
3,1,15.9,5,1,1,511,Regular Customer
244,1,129.9,3,1,4,314,Regular Customer
208,1,11.89,3,1,1,311,Regular Customer
148,1,219.9,4,1,5,415,Regular Customer
65,1,37.9,5,1,1,511,Regular Customer
526,1,24.9,1,1,1,111,At Risk
165,1,39.0,4,1,1,411,Regular Customer
318,1,72.9,2,1,3,213,Regular Customer
511,1,35.0,1,1,1,111,At Risk
174,1,69.9,4,1,2,412,Regular Customer
276,1,79.9,2,1,3,213,Regular Customer
20,1,69.0,5,1,2,512,Regular Customer
167,1,74.69999999999999,4,1,3,413,Regular Customer
296,1,29.0,2,1,1,211,Regular Customer
527,1,177.0,1,1,4,114,Regular Customer
325,1,193.0,2,1,5,215,Regular Customer
19,1,35.0,5,1,1,511,Regular Customer
212,1,79.0,3,1,3,313,Regular Customer
486,2,289.9,1,5,5,155,Regular Customer
152,1,78.0,4,1,3,413,Regular Customer
323,1,119.8,2,1,4,214,Regular Customer
27,1,69.99,5,1,3,513,Regular Customer
302,1,50.0,2,1,2,212,Regular Customer
490,1,59.9,1,1,2,112,At Risk
233,1,289.0,3,1,5,315,Regular Customer
54,1,31.99,5,1,1,511,Regular Customer
186,1,69.9,3,1,2,312,Regular Customer
44,1,229.98,5,1,5,515,Regular Customer
426,1,248.0,1,1,5,115,Regular Customer
185,1,82.8,3,1,3,313,Regular Customer
221,1,189.9,3,1,5,315,Regular Customer
327,1,89.0,2,1,3,213,Regular Customer
202,1,49.0,3,1,2,312,Regular Customer
286,1,58.0,2,1,2,212,Regular Customer
432,1,269.99,1,1,5,115,Regular Customer
328,1,22.5,2,1,1,211,Regular Customer
267,1,69.9,3,1,2,312,Regular Customer
278,1,139.9,2,1,4,214,Regular Customer
174,1,38.7,4,1,1,411,Regular Customer
213,1,49.9,3,1,2,312,Regular Customer
91,1,99.9,5,1,3,513,Regular Customer
75,1,185.0,5,1,5,515,Regular Customer
17,1,55.0,5,1,2,512,Regular Customer
474,1,399.98,1,1,5,115,Regular Customer
41,1,269.70000000000005,5,1,5,515,Regular Customer
386,1,200.0,1,1,5,115,Regular Customer
263,1,13.65,3,1,1,311,Regular Customer
51,1,199.9,5,1,5,515,Regular Customer
266,1,70.97,3,1,3,313,Regular Customer
406,1,229.74,1,1,5,115,Regular Customer
71,1,209.99,5,1,5,515,Regular Customer
535,1,69.9,1,1,2,112,At Risk
84,1,49.9,5,1,2,512,Regular Customer
563,1,49.9,1,1,2,112,At Risk
189,1,57.99,3,1,2,312,Regular Customer
197,1,779.8,3,1,5,315,Regular Customer
211,1,87.8,3,1,3,313,Regular Customer
489,1,289.9,1,1,5,115,Regular Customer
237,1,129.0,3,1,4,314,Regular Customer
171,1,49.9,4,1,2,412,Regular Customer
277,1,109.66,2,1,3,213,Regular Customer
181,1,217.0,3,1,5,315,Regular Customer
33,2,208.88,5,5,5,555,VIP Customer
262,1,18.9,3,1,1,311,Regular Customer
197,1,23.8,3,1,1,311,Regular Customer
48,1,69.5,5,1,2,512,Regular Customer
380,1,239.9,2,1,5,215,Regular Customer
121,1,399.0,4,1,5,415,Regular Customer
215,1,159.99,3,1,4,314,Regular Customer
237,1,86.9,3,1,3,313,Regular Customer
135,1,51.0,4,1,2,412,Regular Customer
105,1,69.99,4,1,3,413,Regular Customer
126,1,68.8,4,1,2,412,Regular Customer
329,1,55.0,2,1,2,212,Regular Customer
347,1,139.8,2,1,4,214,Regular Customer
411,1,29.0,1,1,1,111,At Risk
72,1,57.89,5,1,2,512,Regular Customer
183,1,35.0,3,1,1,311,Regular Customer
373,1,26.9,2,1,1,211,Regular Customer
412,1,27.8,1,1,1,111,At Risk
93,1,30.0,4,1,1,411,Regular Customer
58,1,60.0,5,1,2,512,Regular Customer
476,1,13.99,1,1,1,111,At Risk
148,1,55.8,4,1,2,412,Regular Customer
585,1,126.9,1,1,4,114,Regular Customer
228,1,139.99,3,1,4,314,Regular Customer
172,1,69.9,4,1,2,412,Regular Customer
29,1,1799.0,5,1,5,515,Regular Customer
133,1,22.0,4,1,1,411,Regular Customer
141,1,44.9,4,1,2,412,Regular Customer
106,1,50.0,4,1,2,412,Regular Customer
188,1,64.9,3,1,2,312,Regular Customer
111,1,9.9,4,1,1,411,Regular Customer
173,2,41.260000000000005,4,5,2,452,Regular Customer
419,1,45.0,1,1,2,112,At Risk
326,1,35.9,2,1,1,211,Regular Customer
290,1,190.9,2,1,5,215,Regular Customer
400,1,34.99,1,1,1,111,At Risk
447,1,94.9,1,1,3,113,Regular Customer
450,1,84.99,1,1,3,113,Regular Customer
542,1,19.9,1,1,1,111,At Risk
401,1,179.9,1,1,4,114,Regular Customer
374,1,39.99,2,1,2,212,Regular Customer
227,1,80.0,3,1,3,313,Regular Customer
210,1,87.9,3,1,3,313,Regular Customer
271,1,199.99,2,1,5,215,Regular Customer
189,1,33.99,3,1,1,311,Regular Customer
259,1,29.99,3,1,1,311,Regular Customer
12,1,29.99,5,1,1,511,Regular Customer
64,1,89.9,5,1,3,513,Regular Customer
162,1,259.9,4,1,5,415,Regular Customer
71,1,99.9,5,1,3,513,Regular Customer
429,1,18.99,1,1,1,111,At Risk
43,1,45.8,5,1,2,512,Regular Customer
108,1,118.0,4,1,4,414,Regular Customer
132,1,159.9,4,1,4,414,Regular Customer
112,1,49.8,4,1,2,412,Regular Customer
44,1,22.0,5,1,1,511,Regular Customer
321,1,147.9,2,1,4,214,Regular Customer
337,1,159.0,2,1,4,214,Regular Customer
233,1,179.0,3,1,4,314,Regular Customer
42,1,94.99,5,1,3,513,Regular Customer
466,1,740.0,1,1,5,115,Regular Customer
337,1,89.0,2,1,3,213,Regular Customer
